,gid,fma,fireblock,geom
219,218,11,1133,"MULTIPOLYGON (((-122.57908001 45.47587293000004, -122.579086617 45.47517870400003, -122.579083775 45.47449248100003, -122.579081893 45.47352820700007, -122.579075013 45.47227521900004, -122.5790739129999 45.47205496500004, -122.57907908 45.47101713800004, -122.579067739 45.47047889600003, -122.579069853 45.47004222700008, -122.579067109 45.46954886300006, -122.579064843 45.46914457900004, -122.5790584649999 45.46866596600006, -122.581636955 45.46867406300004, -122.583003155 45.46867081800008, -122.589365393 45.46865799200003, -122.589354419 45.47112233000007, -122.58936303 45.47173502500004, -122.58936252 45.47236452900006, -122.589354364 45.47350521000004, -122.589361406 45.47589187500006, -122.586792501 45.47588866700005, -122.5855149829999 45.47588642600005, -122.584294626 45.47588705000004, -122.583029588 45.47588357500007, -122.581665781 45.47588090000005, -122.57908001 45.47587293000004)))"
220,219,11,1136,"MULTIPOLYGON (((-122.565310502 45.47429563700007, -122.5652898119999 45.47334345300004, -122.565270716 45.47285626000007, -122.565259839 45.47251870400004, -122.56515761 45.47054787800005, -122.5651875729999 45.47007057100006, -122.5652401739999 45.46960362500005, -122.5653629559999 45.46896213600007, -122.565553687 45.46835270900004, -122.565985362 45.46836256300003, -122.566455295 45.46835312500008, -122.567157428 45.46837768500006, -122.5681344389999 45.46842372300006, -122.568580162 45.46843723000006, -122.569919973 45.46847377600005, -122.572407898 45.46851699800004, -122.5739021589999 45.46855364700008, -122.5748951149999 45.46857878000003, -122.576960317 45.46862856400003, -122.578011708 45.46865359100008, -122.5790584649999 45.46866596600006, -122.579064843 45.46914457900004, -122.579067109 45.46954886300006, -122.579069853 45.47004222700008, -122.579067739 45.47047889600003, -122.57907908 45.47101713800004, -122.5790739129999 45.47205496500004, -122.579075013 45.47227521900004, -122.579081893 45.47352820700007, -122.579083775 45.47449248100003, -122.579086617 45.47517870400003, -122.57908001 45.47587293000004, -122.578050592 45.47584359600006, -122.577554746 45.47583103200003, -122.577053338 45.47581856700003, -122.5764834669999 45.47579852600006, -122.575536168 45.47576964200005, -122.5745696879999 45.47574892900008, -122.5717329 45.47568756900006, -122.569729845 45.47563167200008, -122.5686419579999 45.47560135000003, -122.568642191 45.47599000500003, -122.567648573 45.47598832400007, -122.5666716429999 45.47598633200005, -122.566104232 45.47599556600005, -122.565865329 45.47600769700006, -122.565421435 45.47600785200007, -122.565310502 45.47429563700007)))"
221,220,11,1139,"MULTIPOLYGON (((-122.5790584649999 45.46866596600006, -122.579060546 45.46800021200005, -122.5790523219999 45.46731898100006, -122.57905893 45.46689104000006, -122.5790588569999 45.46510143700004, -122.5790610879999 45.46447777600008, -122.5790562449999 45.46426933800007, -122.579056384 45.46347439100003, -122.579057467 45.46331381600004, -122.579057979 45.46264319400007, -122.579174872 45.46264401300004, -122.580023343 45.46263941000007, -122.580017179 45.46152052800005, -122.580780864 45.46151843400003, -122.580782053 45.46117086900006, -122.58151896 45.46115946500004, -122.582685994 45.46115493800005, -122.582693337 45.46150724500006, -122.583960441 45.46149991000004, -122.5844736989999 45.46149744400003, -122.584974444 45.46149520200004, -122.584974109 45.46114472600004, -122.5855123169999 45.46113984400006, -122.585509947 45.46149232600004, -122.585512449 45.46152263000005, -122.5855114509999 45.46236752300007, -122.584448701 45.46237116300006, -122.5844474899999 45.46328654900003, -122.584857917 45.46328692700007, -122.585507585 45.46328589500007, -122.5855025069999 45.46322333100005, -122.585508105 45.46280715400007, -122.585822419 45.46280438000008, -122.585821317 45.46322928500007, -122.585813596 45.46328425000007, -122.586155789 45.46328292600003, -122.586848521 45.46328012400005, -122.586847559 45.46238239900003, -122.5868479379999 45.46220323600005, -122.5861483039999 45.46220714200007, -122.586146248 45.46184788800008, -122.586850085 45.46184488400007, -122.5868509589999 45.46152767200005, -122.588072256 45.46152308300003, -122.588070703 45.46193526900004, -122.5876798579999 45.46193748400003, -122.587679646 45.46231048600004, -122.587679379 45.46237902100006, -122.588264977 45.46237620100004, -122.588265241 45.46230766600007, -122.588265413 45.46193368500008, -122.588461549 45.46193305400004, -122.588463206 45.46152380200004, -122.589262643 45.46151023200008, -122.5893823009999 45.46147281000003, -122.589379132 45.46237061000005, -122.589376358 45.46327917300005, -122.589368909 45.46417411400006, -122.589372494 45.46434733200005, -122.589371767 45.46485740400004, -122.589367058 45.46506993200006, -122.5893718789999 45.46542815800007, -122.5893698 45.46639348800005, -122.589365393 45.46865799200003, -122.583003155 45.46867081800008, -122.581636955 45.46867406300004, -122.5790584649999 45.46866596600006)))"
222,221,11,1140,"MULTIPOLYGON (((-122.5861503249999 45.46256541900004, -122.586075356 45.46256971900004, -122.5855106129999 45.46257214900004, -122.585510368 45.46245173700004, -122.586075111 45.46244930700004, -122.5861500779999 45.46244500700004, -122.5861503249999 45.46256541900004)))"
223,222,11,1142,"MULTIPOLYGON (((-122.5790584649999 45.46866596600006, -122.578011708 45.46865359100008, -122.576960317 45.46862856400003, -122.5748951149999 45.46857878000003, -122.5739021589999 45.46855364700008, -122.572407898 45.46851699800004, -122.569919973 45.46847377600005, -122.568580162 45.46843723000006, -122.5681344389999 45.46842372300006, -122.567157428 45.46837768500006, -122.566455295 45.46835312500008, -122.565985362 45.46836256300003, -122.565553687 45.46835270900004, -122.5656612769999 45.46805903400008, -122.56568542 45.46799594300006, -122.565887678 45.46755077900008, -122.566142418 45.46705669900007, -122.566354108 45.46671807300004, -122.566628655 45.46630978700006, -122.566987942 45.46585983400007, -122.567430256 45.46535943600003, -122.568128541 45.46462925500003, -122.568205086 45.46455347300008, -122.568617892 45.46416031200005, -122.56901647 45.46372041300003, -122.5694557899999 45.46325334500006, -122.570110356 45.46247009500007, -122.570560175 45.46187164900005, -122.570872704 45.46140001000003, -122.5713348419999 45.46140733400006, -122.571867992 45.46141631300003, -122.571980711 45.46141721500004, -122.572072575 45.46141849400004, -122.572877148 45.46143137800004, -122.573786097 45.46144530900006, -122.579061601 45.46152511400004, -122.5790567 45.46241804700003, -122.579057979 45.46264319400007, -122.579057467 45.46331381600004, -122.579056384 45.46347439100003, -122.5790562449999 45.46426933800007, -122.5790610879999 45.46447777600008, -122.5790588569999 45.46510143700004, -122.57905893 45.46689104000006, -122.5790523219999 45.46731898100006, -122.579060546 45.46800021200005, -122.5790584649999 45.46866596600006)))"
224,259,13,1324,"MULTIPOLYGON (((-122.6359401939999 45.54362363700005, -122.6359436069999 45.54204837500004, -122.6367224799999 45.54205054100004, -122.638120047 45.54205588100007, -122.639116325 45.54205986200003, -122.639127238 45.54050110000003, -122.647340327 45.54051340800004, -122.648393695 45.54051721900004, -122.6483832219999 45.54208087400008, -122.648372749 45.54364452800007, -122.647317931 45.54364074100005, -122.646303524 45.54363716900008, -122.645289118 45.54363358900008, -122.6442343369999 45.54363075200007, -122.6431809109999 45.54362690200003, -122.642165114 45.54362332000005, -122.641141147 45.54362477600006, -122.6401158259999 45.54362722800005, -122.6391015299999 45.54362652700007, -122.638085806 45.54362486600007, -122.6359401939999 45.54362363700005)))"
225,223,11,1145,"MULTIPOLYGON (((-122.555396962 45.47628075400007, -122.555831386 45.47636500100003, -122.557007888 45.47611386700004, -122.557011132 45.47539621100003, -122.556995694 45.47539257200003, -122.556968705 45.47537739200004, -122.556893055 45.47532490300006, -122.555851628 45.47534747200007, -122.5558023789999 45.47537087000006, -122.555776534 45.47534881600006, -122.555768331 45.47469891700007, -122.5556625739999 45.47469885300006, -122.555661388 45.47447370700007, -122.5556602509999 45.47432688000004, -122.5557743849999 45.47432777200004, -122.55578264 45.47174799600003, -122.555782168 45.47111949400005, -122.555783624 45.47008272000005, -122.555980001 45.47008801500004, -122.556061418 45.47014627500005, -122.556149256 45.47018973500008, -122.5564186719999 45.47025245900005, -122.5566281659999 45.47027416000003, -122.556795981 45.47029758600007, -122.5569267929999 45.47029818000004, -122.5570500159999 45.47028128700003, -122.55718554 45.47025829900008, -122.558329307 45.46991375300007, -122.558795478 45.46972330200003, -122.558987947 45.46965915200008, -122.5592884389999 45.46961949800004, -122.5595273439999 45.46964654000004, -122.559715881 45.46962749300008, -122.5605860969999 45.46945230100005, -122.560736381 45.46941436000003, -122.560883812 45.46937451200006, -122.561032599 45.46933366000007, -122.5611784979999 45.46928992300008, -122.561324362 45.46924520800007, -122.5614701539999 45.46919853500003, -122.561614483 45.46914993000007, -122.561754572 45.46909944500004, -122.5618959779999 45.46904697600007, -122.562035958 45.46899355500005, -122.562175833 45.46893719700006, -122.562311536 45.46888091500006, -122.562447132 45.46882169800006, -122.56257991 45.46876155100006, -122.562712618 45.46869944900004, -122.5628438639999 45.46863541400006, -122.562970902 45.46857047600002, -122.5631006149999 45.46850255200007, -122.563224765 45.46843472900008, -122.564491031 45.46778736800007, -122.564549775 45.46787246200006, -122.5645992889999 45.46793324800007, -122.564650157 45.46799303000006, -122.564707907 45.46805073100006, -122.564934211 45.46819057200003, -122.565162803 45.46827848500004, -122.565367726 45.46832766400007, -122.565553687 45.46835270900004, -122.5653629559999 45.46896213600007, -122.5652401739999 45.46960362500005, -122.5651875729999 45.47007057100006, -122.56515761 45.47054787800005, -122.565259839 45.47251870400004, -122.565270716 45.47285626000007, -122.5652898119999 45.47334345300004, -122.565310502 45.47429563700007, -122.565421435 45.47600785200007, -122.565554096 45.47801141200006, -122.565559352 45.47823256900006, -122.5655785389999 45.47856899600004, -122.565602176 45.47898953500004, -122.564775878 45.47876846200006, -122.5634757719999 45.47841394600005, -122.562576429 45.47817361100005, -122.562399108 45.47811903500008, -122.562173902 45.47804867700006, -122.56194998 45.47797535900003, -122.561713186 45.47789248100003, -122.56139763 45.47778654300004, -122.5612989699999 45.47775209100007, -122.5610861389999 45.47767759300007, -122.5609704729999 45.47763463600006, -122.56027651 45.47737787000005, -122.559850742 45.47726411500003, -122.558634468 45.47703237200005, -122.5574321129999 45.47680036600008, -122.556460817 45.47660826500004, -122.555804038 45.47649373800004, -122.555354209 45.47640683000003, -122.555396962 45.47628075400007)))"
226,224,11,1148,"MULTIPOLYGON (((-122.549392559 45.47605131900008, -122.549406262 45.47592968100003, -122.549384176 45.47578029000005, -122.549347111 45.47563997800006, -122.5492997329999 45.47552236700005, -122.54927202 45.47544845800007, -122.5491288539999 45.47518277300003, -122.548977806 45.47492995300007, -122.5487931009999 45.47466990200007, -122.548609208 45.47443235400004, -122.5482947899999 45.47408650900007, -122.54825196 45.47401776500004, -122.548237172 45.47399355400006, -122.548193742 45.47390817900003, -122.548189147 45.47389651300006, -122.5481539199999 45.47380707500002, -122.548122828 45.47371658400004, -122.548107352 45.47363462500005, -122.548094586 45.47355066000006, -122.548095098 45.47325597700006, -122.54809869 45.47266069000005, -122.548109487 45.47153172900005, -122.548110021 45.47038826500005, -122.54809894 45.46834336300003, -122.5481948459999 45.46834067300006, -122.549287807 45.46832312500004, -122.550460092 45.46830610700005, -122.5513805309999 45.46828868500006, -122.55139997 45.46898145900008, -122.551748587 45.46896446000005, -122.551830872 45.46896984200004, -122.5519093729999 45.46898606100007, -122.552546424 45.46917340700003, -122.5527264519999 45.46922696900003, -122.552803565 45.46924321200004, -122.5528858489999 45.46924859400008, -122.553263773 45.46923400300005, -122.555787926 45.46920155500004, -122.555795019 45.46947456500004, -122.555803633 45.46978964500005, -122.555807466 45.46985712600008, -122.5558294799999 45.46992722000005, -122.555873956 45.47000278400003, -122.555921787 45.47005577200008, -122.555980001 45.47008801500004, -122.555783624 45.47008272000005, -122.555782168 45.47111949400005, -122.55578264 45.47174799600003, -122.5557743849999 45.47432777200004, -122.5556602509999 45.47432688000004, -122.555661388 45.47447370700007, -122.5556625739999 45.47469885300006, -122.555768331 45.47469891700007, -122.555776534 45.47534881600006, -122.5558023789999 45.47537087000006, -122.555851628 45.47534747200007, -122.556893055 45.47532490300006, -122.556968705 45.47537739200004, -122.556995694 45.47539257200003, -122.557011132 45.47539621100003, -122.557007888 45.47611386700004, -122.555831386 45.47636500100003, -122.555396962 45.47628075400007, -122.555354209 45.47640683000003, -122.5545136 45.47624957400006, -122.554492635 45.47624701200004, -122.553008203 45.47598672200007, -122.5526750769999 45.47593296100007, -122.552427487 45.47589724900007, -122.5521968309999 45.47586808600005, -122.551948523 45.47585098700006, -122.551557509 45.47585112200005, -122.551324025 45.47585920900008, -122.551056128 45.47587770200005, -122.549392559 45.47605131900008)))"
227,225,11,1151,"MULTIPOLYGON (((-122.565367726 45.46832766400007, -122.565162803 45.46827848500004, -122.564934211 45.46819057200003, -122.564707907 45.46805073100006, -122.564650157 45.46799303000006, -122.5645992889999 45.46793324800007, -122.564549775 45.46787246200006, -122.564491031 45.46778736800007, -122.563224765 45.46843472900008, -122.5631006149999 45.46850255200007, -122.562970902 45.46857047600002, -122.5628438639999 45.46863541400006, -122.562712618 45.46869944900004, -122.56257991 45.46876155100006, -122.562447132 45.46882169800006, -122.562311536 45.46888091500006, -122.562175833 45.46893719700006, -122.562035958 45.46899355500005, -122.5618959779999 45.46904697600007, -122.561754572 45.46909944500004, -122.561614483 45.46914993000007, -122.5614701539999 45.46919853500003, -122.561324362 45.46924520800007, -122.5611784979999 45.46928992300008, -122.561032599 45.46933366000007, -122.560883812 45.46937451200006, -122.560736381 45.46941436000003, -122.5605860969999 45.46945230100005, -122.559715881 45.46962749300008, -122.5595273439999 45.46964654000004, -122.5592884389999 45.46961949800004, -122.558987947 45.46965915200008, -122.558795478 45.46972330200003, -122.558329307 45.46991375300007, -122.55718554 45.47025829900008, -122.5570500159999 45.47028128700003, -122.5569267929999 45.47029818000004, -122.556795981 45.47029758600007, -122.5566281659999 45.47027416000003, -122.5564186719999 45.47025245900005, -122.556149256 45.47018973500008, -122.556061418 45.47014627500005, -122.555980001 45.47008801500004, -122.555921787 45.47005577200008, -122.555873956 45.47000278400003, -122.5558294799999 45.46992722000005, -122.555807466 45.46985712600008, -122.555803633 45.46978964500005, -122.555795019 45.46947456500004, -122.555787926 45.46920155500004, -122.553263773 45.46923400300005, -122.5528858489999 45.46924859400008, -122.552803565 45.46924321200004, -122.5527264519999 45.46922696900003, -122.552546424 45.46917340700003, -122.5519093729999 45.46898606100007, -122.551830872 45.46896984200004, -122.551748587 45.46896446000005, -122.55139997 45.46898145900008, -122.5513805309999 45.46828868500006, -122.550460092 45.46830610700005, -122.549287807 45.46832312500004, -122.5481948459999 45.46834067300006, -122.54809894 45.46834336300003, -122.5480975 45.46776285000004, -122.548083144 45.46693977900003, -122.548097639 45.46680148400003, -122.5480909729999 45.46592149400004, -122.5480680429999 45.46470600300006, -122.5480640169999 45.46416959000004, -122.5480374699999 45.46370308700006, -122.54803903 45.46328307400006, -122.548042357 45.46264177800003, -122.548042453 45.46249003300005, -122.548032839 45.46175988100003, -122.548026061 45.46168755600007, -122.548002422 45.46161063800008, -122.547971479 45.46152406100003, -122.547905602 45.46143321100004, -122.547802028 45.46129995800004, -122.547686965 45.46119530200008, -122.547558845 45.46111437300004, -122.547655757 45.46106271600007, -122.548108667 45.46104582500004, -122.558268843 45.46105987900006, -122.5582874409999 45.46284130700008, -122.559247923 45.46285638700004, -122.563458344 45.46298832000008, -122.5634653339999 45.46402396800005, -122.563469916 45.46468666200008, -122.565202318 45.46473284800004, -122.566062941 45.46475554100005, -122.567252256 45.46478797300006, -122.568128541 45.46462925500003, -122.567430256 45.46535943600003, -122.566987942 45.46585983400007, -122.566628655 45.46630978700006, -122.566354108 45.46671807300004, -122.566142418 45.46705669900007, -122.565887678 45.46755077900008, -122.56568542 45.46799594300006, -122.5656612769999 45.46805903400008, -122.565553687 45.46835270900004, -122.565367726 45.46832766400007)))"
228,226,11,1154,"MULTIPOLYGON (((-122.568128541 45.46462925500003, -122.567252256 45.46478797300006, -122.566062941 45.46475554100005, -122.565202318 45.46473284800004, -122.563469916 45.46468666200008, -122.5634653339999 45.46402396800005, -122.563458344 45.46298832000008, -122.559247923 45.46285638700004, -122.5582874409999 45.46284130700008, -122.558268843 45.46105987900006, -122.563081894 45.46120255300008, -122.563226904 45.46124987500008, -122.5648319049999 45.46127681600007, -122.565500121 45.46128926800003, -122.565493399 45.46041514900003, -122.566057229 45.46042653900003, -122.566068493 45.45843995900003, -122.566074373 45.45764491000006, -122.568170645 45.45771876100008, -122.568649756 45.45773460100003, -122.568644929 45.45806069300005, -122.571360566 45.45818108200007, -122.5709687089999 45.45895666400003, -122.570636543 45.46068373000003, -122.570435595 45.46097224300007, -122.570197641 45.46139064900007, -122.570872704 45.46140001000003, -122.570560175 45.46187164900005, -122.570110356 45.46247009500007, -122.5694557899999 45.46325334500006, -122.56901647 45.46372041300003, -122.568617892 45.46416031200005, -122.568205086 45.46455347300008, -122.568128541 45.46462925500003)))"
229,227,11,1155,"MULTIPOLYGON (((-122.564870565 45.46046453600007, -122.564182397 45.46043873300005, -122.5641824529999 45.46086165700007, -122.56388166 45.46085336100003, -122.5638806649999 45.46082596700006, -122.563460134 45.46081492600007, -122.5634631889999 45.46036257700007, -122.564872602 45.46040576000007, -122.564870565 45.46046453600007)))"
230,228,11,1156,"MULTIPOLYGON (((-122.5648676069999 45.45980866400004, -122.564270522 45.45980080300006, -122.564270854 45.45942682200007, -122.5645813689999 45.45943494300008, -122.564581178 45.45954459400008, -122.564698135 45.45954738500006, -122.5648152969999 45.45963240800006, -122.564868161 45.45963243500006, -122.5648676069999 45.45980866400004)))"
231,229,12,1205,"MULTIPOLYGON (((-122.58969379 45.57423444900007, -122.58969446 45.57410129700003, -122.589703815 45.57136588600008, -122.589705978 45.57055428100006, -122.589712355 45.56701910200007, -122.5898303609999 45.56693080800005, -122.588319057 45.56661562300008, -122.588200452 45.56649834200005, -122.588200598 45.56638869600005, -122.588561343 45.56615502200003, -122.589717749 45.56637092600005, -122.58971998 45.56522059300005, -122.589017395 45.56521671700006, -122.5890170229999 45.56516875300008, -122.588899955 45.56516892200005, -122.588903919 45.56436805200008, -122.588907186 45.56282904800003, -122.588879031 45.56266998800004, -122.589051731 45.56266685000003, -122.589259681 45.56267482000004, -122.589539166 45.56269519500006, -122.589846974 45.56272778000005, -122.589876365 45.56273116300008, -122.590077929 45.56275491100007, -122.5902950289999 45.56278424900006, -122.5905446309999 45.56282572300006, -122.590907131 45.56290528200003, -122.591054302 45.56281449800008, -122.591118355 45.56277515300008, -122.591199084 45.56273452700003, -122.591287462 45.56271236100008, -122.591404273 45.56270534100003, -122.591529727 45.56270599700008, -122.591967444 45.56270880200003, -122.592791166 45.56271045700004, -122.594179669 45.56272139900005, -122.59596275 45.56273688200008, -122.596114703 45.56273802800007, -122.597161553 45.56274341400007, -122.597699583 45.56274534800008, -122.598106623 45.56274771200003, -122.599284462 45.56275264700002, -122.600839843 45.56275361000007, -122.6008218809999 45.56418813800008, -122.600827647 45.56449445200008, -122.600840756 45.56511194600006, -122.6008414569999 45.56644823300007, -122.600843551 45.56710704500006, -122.600839055 45.56724907800003, -122.600838788 45.56769353800007, -122.600749933 45.56804171800007, -122.600565602 45.56878518900004, -122.598552066 45.56846070900008, -122.5985445219999 45.57206248800003, -122.598526414 45.57228896100003, -122.598475147 45.57241031000007, -122.598198291 45.57291463700005, -122.598096568 45.57329241800005, -122.5980685809999 45.57340257400006, -122.597947751 45.57386685200004, -122.5978191409999 45.57434693700003, -122.59765178 45.57430691400003, -122.597215403 45.57422970200003, -122.59683929 45.57416117800005, -122.596535522 45.57412657800006, -122.5964105309999 45.57410144600004, -122.5962840559999 45.57411158200006, -122.59611675 45.57411071600006, -122.5956962229999 45.57408509400005, -122.595461743 45.57411482000003, -122.595270899 45.57411829700004, -122.595133279 45.57412863600007, -122.594726534 45.57417422400005, -122.594131875 45.57422714900008, -122.593786096 45.57426281400006, -122.593043465 45.57434779600004, -122.592606525 45.57436847300005, -122.592276089 45.57436665300003, -122.591903046 45.57438127100005, -122.591638863 45.57436160000003, -122.5913203169999 45.57434194100006, -122.590760775 45.57432666000005, -122.590580151 45.57434267000008, -122.5905452539999 45.57434134700003, -122.590535287 45.57433565400004, -122.59049484 45.57429723000007, -122.59035711 45.57430462800005, -122.589916758 45.57427053500004, -122.58969379 45.57423444900007)))"
232,230,12,1207,"MULTIPOLYGON (((-122.6092521419999 45.58622325800008, -122.608766862 45.58588364100007, -122.609013793 45.58378802900006, -122.611111023 45.58278625000003, -122.612291754 45.57990009700006, -122.609816768 45.57722690900005, -122.610413065 45.57714254700005, -122.610944978 45.57708873200005, -122.611258349 45.57708102200007, -122.611793247 45.57710742400008, -122.612110087 45.57715545000008, -122.612483853 45.57723473600004, -122.612886649 45.57734481400007, -122.613148116 45.57747804600007, -122.613335503 45.57756858500005, -122.613477919 45.57761198000003, -122.6136266079999 45.57763665900006, -122.6138025019999 45.57764321600007, -122.614018505 45.57764120400003, -122.614142155 45.57766732200002, -122.6141426519999 45.57756843700002, -122.6141423019999 45.57748425100004, -122.614171922 45.57749349600005, -122.6141960049999 45.57750382300003, -122.614227345 45.57752184700007, -122.614312499 45.57756237700005, -122.6144315239999 45.57761403300003, -122.6145363639999 45.57765909600005, -122.614614115 45.57768801500004, -122.61470191 45.57772458200003, -122.614786736 45.57775630700007, -122.614871707 45.57779194600005, -122.614926805 45.57781149100003, -122.614974826 45.57782823000008, -122.61509521 45.57787888000007, -122.615219627 45.57792554100007, -122.615286343 45.57795760000005, -122.6153264439999 45.57798623100007, -122.615432605 45.57802931200007, -122.615528576 45.57806083200006, -122.615593863 45.57809193700007, -122.615669705 45.57814438600008, -122.615699617 45.57816145700008, -122.61576648 45.57819742800007, -122.615875014 45.57830409800005, -122.615966612 45.57840520600007, -122.616073242 45.57849820500007, -122.616151646 45.57858193300007, -122.616207327 45.57861713100004, -122.6162823669999 45.57864805600008, -122.616385489 45.57868433900006, -122.6164854949999 45.57871186900007, -122.6165262979999 45.57872188700003, -122.616602293 45.57874104600006, -122.6166878929999 45.57875611400004, -122.616758353 45.57877635500006, -122.616828739 45.57879463900008, -122.616921562 45.57881642600006, -122.617004741 45.57884132800007, -122.617099469 45.57887678500003, -122.617207099 45.57892179500004, -122.617341271 45.57896827400003, -122.617470864 45.57900406800007, -122.617522738 45.57901192400004, -122.617601118 45.57902027100005, -122.617743655 45.57902939400003, -122.6178562059999 45.57901949000006, -122.61792975 45.57901030500005, -122.618029763 45.57900063100004, -122.61814367 45.57898972200007, -122.618282618 45.57897737400003, -122.618399312 45.57896641400004, -122.6185158219999 45.57895056200005, -122.618600547 45.57894214900006, -122.618696235 45.57892863900003, -122.618837383 45.57890058500004, -122.6189955409999 45.57888005000007, -122.6191220589999 45.57887086600005, -122.619226179 45.57885915800006, -122.6193258979999 45.57884165700005, -122.619385401 45.57882979300007, -122.6195196199999 45.57880284500004, -122.619656478 45.57877193200005, -122.619743659 45.57875466200005, -122.619850345 45.57873703200005, -122.619976498 45.57871806400004, -122.620095721 45.57870020400003, -122.6201955129999 45.57868465800004, -122.620314626 45.57866386200004, -122.620394915 45.57864867600006, -122.620453061 45.57863781400005, -122.620466409 45.58305960700005, -122.6201268729999 45.58337522200003, -122.617708156 45.58438896100006, -122.615429359 45.58530609300004, -122.615440279 45.58615955600004, -122.61534027 45.58628181000006, -122.615316965 45.58984374100004, -122.6146052889999 45.58956704900004, -122.61446094 45.58950998500006, -122.6143255699999 45.58946939800006, -122.614127534 45.58943094200004, -122.613834237 45.58938052900004, -122.613736793 45.58964664300004, -122.613726147 45.58969774500008, -122.613726578 45.58974668500008, -122.613743401 45.58978651400002, -122.613759785 45.58981460300004, -122.613797472 45.58985307000006, -122.613848692 45.58988051900008, -122.613867796 45.59218858300005, -122.61269793 45.59361195700006, -122.612405311 45.59402947800004, -122.615371802 45.59523882500008, -122.615288938 45.59899861500003, -122.615062661 45.59898906900003, -122.614835246 45.59898639700003, -122.614608049 45.59898959300006, -122.614381108 45.59899963800007, -122.614154387 45.59901555100004, -122.613929276 45.59903730900004, -122.613705851 45.59906686700003, -122.6129205619999 45.59917527100004, -122.612683126 45.59920312500003, -122.6124426489999 45.59922418300005, -122.6122018789999 45.59923741400007, -122.611960891 45.59924477500005, -122.611718255 45.59924531100006, -122.6114767559999 45.59923897400006, -122.6113887389999 45.59923471600007, -122.611384658 45.59927492900005, -122.6108859669999 45.59925275100005, -122.6109526019999 45.59613547200007, -122.6040647569999 45.59138931300004, -122.6053583299999 45.59047674500005, -122.606831864 45.58945513600003, -122.607990678 45.58863311100004, -122.6103425649999 45.58697566800004, -122.6092521419999 45.58622325800008)))"
